Client Product Type,Client Attribute,Client Attribute Value,Comments,Expression,PT_a,AT_a,VA_a,PT_b,AT_b,VA_b,PT_c,AT_c,VA_c,PT_d,AT_d,VA_d,PT_e,AT_e,VA_e,PT_f,AT_f,VA_f,Rev_AT_a,Rev_VA_a,Rev_AT_b,Rev_VA_b,Rev_AT_c,Rev_VA_c,Rev_AT_d,Rev_VA_d
Dresses,Type,Column,Done,a,dress,DressType_v2,Column,,,,,,,,,,,,,,,,DressType_v2,Column,,,,,,
Dresses,Type,A-Line,Done,a,dress,DressType_v2,A-Line,,,,,,,,,,,,,,,,DressType_v2,A-Line,,,,,,
Dresses,Type,Mermaid Trumpet,Done,a,dress,DressType_v2,Mermaid_Trumpet,,,,,,,,,,,,,,,,DressType_v2,Mermaid_Trumpet,,,,,,
Dresses,Type,Flare,Done,a,dress,DressType_v2,Flare,,,,,,,,,,,,,,,,DressType_v2,Flare,,,,,,
Dresses,Type,Shift Sack,Done,a,dress,DressType_v2,Shift_Sack,,,,,,,,,,,,,,,,DressType_v2,Shift_Sack,,,,,,
Dresses,Type,Sheath,Done,a,dress,DressType_v2,Sheath,,,,,,,,,,,,,,,,DressType_v2,Sheath,,,,,,
Dresses,Type,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Dress Style,Blouson/Popover,Done,a ,dress,DressStyle_v2,blouson_popover,,,,,,,,,,,,,,,,DressStyle_v2,Blouson_Popover,,,,,,
Dresses,Dress Style,Pinafore,Done,a,dress,DressStyle_v2,pinafore_dress,,,,,,,,,,,,,,,,DressStyle_v2,Pinafore,,,,,,
Dresses,Dress Style,Shirt Dress,Done,a,dress,DressStyle_v2,shirt_dress,,,,,,,,,,,,,,,,DressStyle_v2,Shirt_Dress,,,,,,
Dresses,Dress Style,Slip Dress,Done,a,dress,DressStyle_v2,slip_dress,,,,,,,,,,,,,,,,DressStyle_v2,Slip_Dress,,,,,,
Dresses,Dress Style,Wrap,Done,a,dress,DressStyle_v2,wrap_dress,,,,,,,,,,,,,,,,DressStyle_v2,Wrap,,,,,,
Dresses,Dress Style,Sweater Dress,Done,a and b,dress,DressStyle_v2,tts_cluster,dress,TShirtVsTankVsSweater,Sweater_Dress,,,,,,,,,,,,,DressStyle_v2,tts_cluster,TShirtVsTankVsSweater,Sweater_Dress,,,,
Dresses,Dress Style,T-Shirt Dress,Done,a and b,dress,DressStyle_v2,tts_cluster,dress,TShirtVsTankVsSweater,T_Shirt_Dress,,,,,,,,,,,,,DressStyle_v2,tts_cluster,TShirtVsTankVsSweater,T_Shirt_Dress,,,,
Dresses,Dress Style,Tank Dress,Done,a and b,dress,DressStyle_v2,tts_cluster,dress,TShirtVsTankVsSweater,Tank_Dress,,,,,,,,,,,,,DressStyle_v2,tts_cluster,TShirtVsTankVsSweater,Tank_Dress,,,,
Dresses,Dress Style,Denim Dress,Done,a,dress,isDenimDress,Denim,,,,,,,,,,,,,,,,isDenimDress,Denim,,,,,,
Dresses,Dress Style,Blazer Dress,,a,dress,DressStyle_v2,blazer_dress,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Dress Style,Vest Dress,,a,dress,DressStyle_v2,vest_dress,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Dress Style,Tiered Dress,,a and b,,istiered_dress,tiered_dress,,DressType_v2,"A-Line,Flare",,,,,,,,,,,,,,,,,,,,
Dresses,Dress Style,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Length,Full Length,,a and b and (not c),dress,Buyma_GarmentType,Model,,DressLength_Model,Full_Length,,IsDressFullLength,Ankle_Length,,,,,,,,,,,,,,,,,
Dresses,Length,Ankle Length,Done,(a and b) or (c and d and e),dress,DressLength,Maxi,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,DressLength_Model,Full_Length,,IsDressFullLength,Ankle_Length,,,,DressLength,ankle,,,,,,
Dresses,Length,High Low,,(a and b) or (c and d),dress,DressLength,High_Low,,Buyma_GarmentType,Garment,,DressLength_Model,High_Low,,Buyma_GarmentType,Model,,,,,,,,,,,,,,
Dresses,Length,Calf Length,Done,(a and b) or (c and d),dress,DressLength,Midi,,Buyma_GarmentType,Garment,,DressLength_Model,Calf_Length,,Buyma_GarmentType,Model,,,,,,,DressLength,calf,,,,,,
Dresses,Length,Knee Length,Done,(a and b) or (c and d),dress,DressLength,Knee_Length,,Buyma_GarmentType,Garment,,DressLength_Model,Knee_Length,,Buyma_GarmentType,Model,,,,,,,DressLength,knee,,,,,,
Dresses,Length,Thigh Length,Done,(a and b) or (c and d),dress,DressLength,Mini,,Buyma_GarmentType,Garment,,DressLength_Model,Thigh_Length,,Buyma_GarmentType,Model,,,,,,,DressLength,thigh,,,,,,
Dresses,Length,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Primary Pattern,Plain,Done,a,,L1patternuw,Plain,,,,,,,,,,,,,,,,UWPatternL1,plain,,,,,,
Dresses,Primary Pattern,Print,Done,a,,L1patternuw,Print,,,,,,,,,,,,,,,,UWPatternL1,print,,,,,,
Dresses,Secondary Pattern,Solid,Done,a and b and c,,L2plainuw,Solid_colorblock,,L1patternuw,Plain,,L3Pattern_SolidCb,Solid,,,,,,,,,,UWPlainL2,solid,,,,,,
Dresses,Secondary Pattern,Colorblock,Done,a and b and c,,L2plainuw,Solid_colorblock,,L1patternuw,Plain,,L3Pattern_SolidCb,Colorblock,,,,,,,,,,UWPlainL2,colorblock,,,,,,
Dresses,Secondary Pattern,Texture,Done,a and b and c,,L2plainuw,Texture,,L1patternuw,Plain,,L3Pattern_Texture,Texture,,,,,,,,,,UWPlainL2,texture,,,,,,
Dresses,Secondary Pattern,Ribbed,,a and b and c,,L2plainuw,Texture,,L1patternuw,Plain,,IsRibbedUW,Ribbed,,,,,,,,,,,,,,,,,
Dresses,Secondary Pattern,Lace,Done,a and b and c,,L2plainuw,Texture,,L1patternuw,Plain,,L3Pattern_Texture,Lace,,,,,,,,,,IsLaceSequin,lace,,,,,,
Dresses,Secondary Pattern,Sequin,Done,a and b and c,,L2plainuw,Texture,,L1patternuw,Plain,,L3Pattern_Texture,Sequin,,,,,,,,,,IsLaceSequin,sequin,,,,,,
Dresses,Secondary Pattern,Tie and Dye,Done,a and b and c,,L2plainuw,Ombre_tiedye,,L1patternuw,Plain,,L3Patternuw_Ombretiedye,Tie and Dye,,,,,,,,,,UWPrintL2,tie_and_dye,,,,,,
Dresses,Secondary Pattern,Ombre,,a and b and c,,L2plainuw,Ombre_tiedye,,L1patternuw,Plain,,L3Patternuw_Ombretiedye,Ombre,,,,,,,,,,,,,,,,,
Dresses,Secondary Pattern,Animal Print,Done,a and b and c,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,,,,UWPrintL2,animal_print,,,,,,
Dresses,Secondary Pattern,Camouflage,Done,a and b and c,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Camouflage,,,,,,,,,,UWPrintL2,camouflage,,,,,,
Dresses,Secondary Pattern,Argyle,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Argyle,,,,,,,,,,UWGeometricL2,argyle,,,,,,
Dresses,Secondary Pattern,Check,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Check,,,,,,,,,,UWGeometricL2,check,,,,,,
Dresses,Secondary Pattern,Chevron,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Chevron,,,,,,,,,,UWGeometricL2,chevron,,,,,,
Dresses,Secondary Pattern,Geometric Print,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Geometric,,,,,,,,,,UWGeometricL2,geometric,,,,,,
Dresses,Secondary Pattern,Houndstooth,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Houndstooth,,,,,,,,,,UWGeometricL2,houndstooth,,,,,,
Dresses,Secondary Pattern,Polka Dots,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Polka Dots,,,,,,,,,,UWGeometricL2,polka_dots,,,,,,
Dresses,Secondary Pattern,Stripe,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Stripe,,,,,,,,,,UWGeometricL2,stripe,,,,,,
Dresses,Secondary Pattern,Floral,Done,a and b and c,,L2printuw,Floral_tropical,,L1patternuw,Print,,L3Patternuw_FloralTropical,Floral,,,,,,,,,,UWPrintL2,floral,,,,,,
Dresses,Secondary Pattern,Tropical,Done,a and b and c,,L2printuw,Floral_tropical,,L1patternuw,Print,,L3Patternuw_FloralTropical,Tropical,,,,,,,,,,UWPrintL2,tropical,,,,,,
Dresses,Secondary Pattern,Ethnic Print,Done,a and b and c,,L2printuw,EthnicPrints,,L1patternuw,Print,,L3EthnicPrint,Ethnic Prints,,,,,,,,,,UWPrintL2,ethnic_prints,,,,,,
Dresses,Secondary Pattern,Abstract,,a and b and c,,L2printuw,EthnicPrints,,L1patternuw,Print,,L3EthnicPrint,Abstract,,,,,,,,,,,,,,,,,
Dresses,Secondary Pattern,Aztec,Done,a and b and c,,L2printuw,EthnicPrints,,L1patternuw,Print,,L3EthnicPrint,Aztec,,,,,,,,,,UWGeometricL2,aztec,,,,,,
Dresses,Secondary Pattern,Paisley,Done,a and b and c,,L2printuw,EthnicPrints,,L1patternuw,Print,,L3EthnicPrint,Paisley,,,,,,,,,,IsPaisley,paisley,,,,,,
Dresses,Secondary Pattern,Spot Objects,,a and b and c,,L2printuw,EthnicPrints,,L1patternuw,Print,,L3EthnicPrint,Spot Objects,,,,,,,,,,,,,,,,,
Dresses,Secondary Pattern,Graphic,Done,a and b and c,,L2printuw,Block_typography,,L1patternuw,Print,,L3Pattern_BlockTypography,Block Graphic,,,,,,,,,,UWPrintL2,graphic/text,,,,,,
Dresses,Secondary Pattern,Graphic Text,,a and b and c,,L2printuw,Block_typography,,L1patternuw,Print,,L3Pattern_BlockTypography,Typography,,,,,,,,,,,,,,,,,
Dresses,Secondary Pattern,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Pattern Style,Leopard/Cheetah Print,Done,a and b and c and d,,PatternAnimalPrint,leopard,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,leopard,,,,,,
Dresses,Pattern Style,Snake Print,Done,a and b and c and d,,PatternAnimalPrint,snake,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,snake,,,,,,
Dresses,Pattern Style,Cow Print,Done,a and b and c and d,,PatternAnimalPrint,cow,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,cow,,,,,,
Dresses,Pattern Style,Tiger Print,Done,a and b and c and d,,PatternAnimalPrint,tiger,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,tiger,,,,,,
Dresses,Pattern Style,Zebra Print,Done,a and b and c and d,,PatternAnimalPrint,zebra,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,zebra,,,,,,
Dresses,Pattern Style,Gingham Checks,Done,a and b and c and d,dress,CheckStyle,gingham,dress,L2printuw,Lines,dress,L1patternuw,Print,dress,L3Pattern_Lines,Check,,,,,,,CheckStyle,gingham,,,,,,
Dresses,Pattern Style,Tattersall/Windowpane Checks,Done,a and b and c and d,dress,CheckStyle,windowpane,dress,L2printuw,Lines,dress,L1patternuw,Print,dress,L3Pattern_Lines,Check,,,,,,,CheckStyle,windowpane,,,,,,
Dresses,Pattern Style,Plaid Checks,Done,a and b and c and d,dress,CheckStyle,plaid,dress,L2printuw,Lines,dress,L1patternuw,Print,dress,L3Pattern_Lines,Check,,,,,,,CheckStyle,plaid,,,,,,
Dresses,Pattern Style,Plain Checks,Done,a and b and c and d,dress,CheckStyle,regular,dress,L2printuw,Lines,dress,L1patternuw,Print,dress,L3Pattern_Lines,Check,,,,,,,CheckStyle,regular,,,,,,
Dresses,Pattern Style,Candy Stripes,Done,a and b and c and d,dress,isCandy,candy,dress,L2printuw,Lines,dress,L1patternuw,Print,dress,L3Pattern_Lines,Stripe,,,,,,,isCandy,candy,,,,,,
Dresses,Pattern Style,Pin/Pencil Stripes,Done,a and b and c and d,dress,StripeStyle,thin,dress,L2printuw,Lines,dress,L1patternuw,Print,dress,L3Pattern_Lines,Stripe,,,,,,,StripeStyle,thin,,,,,,
